AreaCode,AreaName,Date,CumulatedCase,CumulatedDeath,CumulatedFirstVaccin
E12000002,North West,19/4/2022,2538119,25936,5632214
E12000003,Yorkshire and The Humber,19/4/2022,1783447,16891,4213870
E12000004,East Midlands,19/4/2022,1568722,15053,3780194
E12000005,West Midlands,19/4/2022,1887522,19621,4463033
E12000006,East of England,19/4/2022,2006354,18723,4915304
E12000007,London,19/4/2022,2852693,23312,6477234
E12000008,South East,19/4/2022,2968504,25576,7350711
E12000009,South West,19/4/2022,1720803,11438,4622182
K02000001,United Kingdom,19/4/2022,32593.2,195034,53057035
E12000001,North East,18/4/2022,,9027,2091666
E12000002,North West,18/4/2022,,25917,5631683
E12000003,Yorkshire and The Humber,18/4/2022,,16877,4213541
E12000004,East Midlands,18/4/2022,,15040,3779881
E12000005,West Midlands,18/4/2022,,19614,4462547
E12000006,East of England,18/4/2022,,18709,4915006
E12000007,London,18/4/2022,,23300,6476335
E12000008,South East,18/4/2022,,25563,7350100
E12000009,South West,18/4/2022,,11427,4621742
K02000001,United Kingdom,18/4/2022,32419.9,194901,53041898
E12000001,North East,17/4/2022,,9020,2091460
E12000002,North West,17/4/2022,,25902,5630595
E12000003,Yorkshire and The Humber,17/4/2022,,16865,4213031
E12000004,East Midlands,17/4/2022,,15029,3779372
E12000005,West Midlands,17/4/2022,,19600,4461796
E12000006,East of England,17/4/2022,,18698,4914144
E12000007,London,17/4/2022,,23289,6473781
E12000008,South East,17/4/2022,,25547,7348873
E12000009,South West,17/4/2022,,11402,4621369
K02000001,United Kingdom,17/4/2022,32419.9,194752,53035858
E12000001,North East,16/4/2022,,9013,2091460
E12000002,North West,16/4/2022,,25888,5630595
E12000003,Yorkshire and The Humber,16/4/2022,,16849,4213031
E12000004,East Midlands,16/4/2022,,15018,3779372
E12000005,West Midlands,16/4/2022,,19584,4461796
E12000006,East of England,16/4/2022,,18686,4914144
E12000007,London,16/4/2022,,23277,6473781
E12000008,South East,16/4/2022,,25535,7348873
E12000009,South West,16/4/2022,,11383,4621369
K02000001,United Kingdom,16/4/2022,32419.9,194612,53031035
E12000001,North East,15/4/2022,,9004,2091460
E12000002,North West,15/4/2022,,25866,5630595
E12000003,Yorkshire and The Humber,15/4/2022,,16830,4213031
E12000004,East Midlands,15/4/2022,,15007,3779372
E12000005,West Midlands,15/4/2022,,19572,4461796
E12000006,East of England,15/4/2022,,18674,4914144
E12000007,London,15/4/2022,,23267,6473781
E12000008,South East,15/4/2022,,25518,7348873
E12000009,South West,15/4/2022,,11373,4621369
K02000001,United Kingdom,15/4/2022,32419.9,194467,53012870
